姓,名,メールアドレス,状態,開始日時,受験完了,所要時間,評点/10.00,"解答 1","解答 2","解答 3","解答 4","解答 5","解答 6","解答 7","解答 8","解答 9"
Math2021,S022,s022@example.com,終了,"2021年 06月 17日 22:46","2021年 06月 17日 22:46","32 秒",8.89,"Seed: 1; ans1: (1/15)*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F","Seed: 1; ans1: (1/3)*(ln(x))^3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -sin(x)^3/3+sin(x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*ln(abs((cos(x)-1)/(cos(x)+1)))+C [score]; prt1: # = 1 | ATInt_EqFormalDiff. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 1/2*(x-sin(x)*cos(x))+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*x^2*ln(x)-1/4*x^2+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -x^2*e^-x-2*x*e^-x-2*e^-x+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S022,s022@example.com,終了,"2021年 06月 17日 22:48","2021年 06月 17日 22:48","15 秒",10.00,"Seed: 1; ans1: (1/15)*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*sqrt(x^3+1)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: (1/3)*(ln(x))^3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -sin(x)^3/3+sin(x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*ln(abs((cos(x)-1)/(cos(x)+1)))+C [score]; prt1: # = 1 | ATInt_EqFormalDiff. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 1/2*(x-sin(x)*cos(x))+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*x^2*ln(x)-1/4*x^2+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -x^2*e^-x-2*x*e^-x-2*e^-x+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S041,s041@example.com,終了,"2021年 06月 17日 22:50","2021年 06月 17日 22:52","1 分 35 秒",8.89,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*sqrt(x^3+1)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; ans1: -1/3*sin(x)^3+sin(x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: ln(abs(tan(x/2)))+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: 1/2*x-1/4*sin(2*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*(x^2)*ln(x)-1/4*(x)^2+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -(x^2+2*x+2)*e^-x+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S041,s041@example.com,終了,"2021年 06月 17日 22:55","2021年 06月 17日 22:57","1 分 4 秒",10.00,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*sqrt(x^3+1)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/3*(log(x)^3)+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -1/3*sin(x)^3+sin(x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: ln(abs(tan(x/2)))+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: 1/2*x-1/4*sin(2*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*(x^2)*ln(x)-1/4*(x)^2+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -(x^2+2*x+2)*e^-x+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S084,s084@example.com,終了,"2021年 06月 17日 23:29","2021年 06月 17日 23:32","2 分 53 秒",4.44,"Seed: 1; ans1: 1/15*(3*x+2)^5+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: (3*sqrt(x^3+1))/2+c [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F","Seed: 1; prt1: !","Seed: 1; ans1: 1/4*sin(x)^4+c [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-T","Seed: 1; prt1: !","Seed: 1; ans1: -1/3*cos(x)^3+c [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-T","Seed: 1; ans1: 1/2*x^2*ln(x)-1/4*x^2+c [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -x^2*e^(-x)-2*x*e^(-x)-2*e^(-x)+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S084,s084@example.com,終了,"2021年 06月 17日 23:33","2021年 06月 17日 23:33","28 秒",5.56,"Seed: 1; ans1: 1/15*(3*x+2)^5+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: (2*sqrt(x^3+1))/3+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; ans1: 1/4*sin(x)^4+c [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-T","Seed: 1; prt1: !","Seed: 1; ans1: -1/3*cos(x)^3+c [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-T","Seed: 1; ans1: 1/2*x^2*ln(x)-1/4*x^2+c [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -x^2*e^(-x)-2*x*e^(-x)-2*e^(-x)+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: asin(x/2)+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T"
Math2021,S045,s045@example.com,終了,"2021年 06月 18日 00:02","2021年 06月 24日 23:07","6 日 23 時間",4.44,"Seed: 1; ans1: (3*x+2)^5/15+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2*(x^3+1)^(1/2)/3+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: (log(x))^3/3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -(cos(x))^3/(4*tan(x))+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F","Seed: 1; ans1: log((cos(x)-1)/(cos(x)+1))/2+C [score]; prt1: # = 0 | ATInt_EqFormalDiff. ATInt_logabs. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F","Seed: 1; ans1: tan(x)*(sin(x))^2/3+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F","Seed: 1; ans1: x^2*log(x)/2-x^2/4+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: -(x^2+2*x-2)*e^(-x)+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F","Seed: 1; ans1: (-(4-x^2)^(1/2))/x+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F"
Math2021,S032,s032@example.com,終了,"2021年 06月 18日 01:05","2021年 06月 18日 01:06","1 分 33 秒",0.00,"Seed: 1; ans1: 1/5*(3*x+2)^5 [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S032,s032@example.com,終了,"2021年 06月 18日 01:08","2021年 06月 18日 01:13","4 分 46 秒",1.00,"Seed: 1; ans1: 1/15*(3*x+2)^5 [score]; prt1: # = 0.9 | ATInt_const_int. | prt1-1-F | prt1-2-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S032,s032@example.com,終了,"2021年 06月 18日 01:13","2021年 06月 18日 01:16","2 分 45 秒",1.11,"Seed: 1; ans1: 1/15*(3*x+2)^5+c [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:00","2021年 06月 18日 02:22","22 分 9 秒",3.33,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x)^2+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:25","2021年 06月 18日 02:26","50 秒",3.33,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2*log(x)+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:27","2021年 06月 18日 02:27","37 秒",3.33,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x^2)+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:28","2021年 06月 18日 02:28","16 秒",3.33,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x)^2+C [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:30","2021年 06月 18日 02:31","33 秒",4.44,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x)^3/3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:34","2021年 06月 18日 02:51","17 分 19 秒",5.44,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x)^3/3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*log(abs((cos(x)-1)/(cos(x)+1))) [score]; prt1: # = 0.9 | ATInt_EqFormalDiff. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-T","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
Math2021,S033,s033@example.com,終了,"2021年 06月 18日 02:51","2021年 06月 18日 02:54","2 分 22 秒",4.44,"Seed: 1; ans1: 1/15*(3*x+2)^5+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 2/3*(x^3+1)^(1/2)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: log(x)^3/3+C [score]; prt1: # = 1 | ATInt_true_equiv. | prt1-1-T","Seed: 1; ans1: 3/4*sin(x)+1/12*sin(3*x)+C [score]; prt1: # = 1 | ATInt_true. | prt1-1-T","Seed: 1; ans1: 1/2*log(abs(tan(x^2/2))) [score]; prt1: # = 0 | ATInt_generic. | prt1-1-F | prt1-2-F | prt1-3-F | prt1-4-F | prt1-5-F | prt1-6-F","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !","Seed: 1; prt1: !"
